streaming_log,mos,content,encoding_profile,device
sensei_trace_0-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_0-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_1-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_1-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_10-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_10-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_11-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_11-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_12-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_12-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_13-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_13-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_14-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_14-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_15-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_15-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_16-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_16-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_17-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_17-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_18-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_18-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_19-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_19-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_2-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_2-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_20-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_20-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_21-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_21-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_22-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_22-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_23-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_23-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_24-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_24-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_25-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_25-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_26-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_26-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_27-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_27-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_28-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_28-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_29-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_29-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_3-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_3-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_30-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_30-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_31-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_31-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_32-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_32-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_33-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_33-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_34-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_34-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_35-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_35-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_36-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_36-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_37-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_37-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_38-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_38-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_39-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_39-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_4-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_4-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_40-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_40-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_41-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_41-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_42-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_42-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_43-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_43-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_44-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_44-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_45-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_45-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_46-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_46-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_47-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_47-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_48-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_48-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_49-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_49-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_5-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_5-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_50-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_50-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_51-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_51-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_52-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_52-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_53-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_53-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_54-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_54-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_55-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_55-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_56-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_56-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_57-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_57-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_58-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_58-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_59-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_59-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_6-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_6-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_60-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_60-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_61-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_61-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_62-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_62-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_63-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_63-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
sensei_trace_64-original_videos_Sports_1080P_Sports_1080P-08e1sensei_trace_64-original_videos_Sports_1080P_Sports_1080P-08e1.csv,77.5,Sports,H264,720p
