streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace0-2abf_2.csv,41.027,6.372,0.306,32.578
trace0-2abf_3.csv,48.909,4.779,0.183,41.916
trace0-2abf_4.csv,54.069,4.673,0.21,51.035
trace0-2abf_5.csv,58.872,3.394,0.379,60.564
trace0-2abf_phase_2_1.csv,32.882,6.449,0.304,17.575
trace0-2abf_phase_2_2.csv,26.321,7.949,0.304,16.517
trace0-2abf_phase_2_3.csv,36.022,10.449,0.304,26.952
trace0-2abf_phase_2_4.csv,40.074,7.449,0.304,30.867
trace1-2abf_2.csv,43.041,6.723,0.201,39.119
trace1-2abf_3.csv,51.48,5.228,0.069,48.457
trace1-2abf_4.csv,57.44,5.261,0.097,57.576
trace1-2abf_5.csv,62.243,3.983,0.28,67.105
trace1-2abf_phase_2_1.csv,34.827,6.789,0.248,24.116
trace1-2abf_phase_2_2.csv,28.266,8.289,0.199,23.058
trace1-2abf_phase_2_3.csv,37.967,10.789,0.199,33.493
trace1-2abf_phase_2_4.csv,42.019,7.789,0.199,37.408
trace2-2abf_2.csv,43.567,7.376,0.016,39.119
trace2-2abf_3.csv,53.739,6.69,-0.148,48.457
trace2-2abf_4.csv,57.44,6.006,0.068,57.576
trace2-2abf_5.csv,66.919,6.578,0.132,67.105
trace2-2abf_phase_2_1.csv,35.422,7.454,0.105,24.116
trace2-2abf_phase_2_2.csv,28.861,8.954,0.034,23.058
trace2-2abf_phase_2_3.csv,38.562,11.454,0.03,33.493
trace2-2abf_phase_2_4.csv,42.614,8.454,0.027,37.408
trace3-2abf_2.csv,36.642,2.174,0.696,19.496
trace3-2abf_3.csv,44.524,0.582,0.612,28.835
trace3-2abf_4.csv,47.225,0.0,0.63,37.953
trace3-2abf_5.csv,52.929,0.0,0.654,47.482
trace3-2abf_phase_2_1.csv,28.497,2.252,0.69,4.493
trace3-2abf_phase_2_2.csv,21.936,3.752,0.691,3.436
trace3-2abf_phase_2_3.csv,31.637,6.252,0.691,13.87
trace3-2abf_phase_2_4.csv,35.689,3.252,0.692,17.785
trace4-2abf_2.csv,39.182,5.642,0.439,26.037
trace4-2abf_3.csv,46.895,3.982,0.33,35.376
trace4-2abf_4.csv,51.498,3.656,0.353,44.494
trace4-2abf_5.csv,55.5,2.061,0.504,54.023
trace4-2abf_phase_2_1.csv,31.037,5.72,0.437,11.034
trace4-2abf_phase_2_2.csv,24.476,7.22,0.437,9.976
trace4-2abf_phase_2_3.csv,34.177,9.72,0.437,20.411
trace4-2abf_phase_2_4.csv,38.229,6.72,0.437,24.326
trace5-2abf_2.csv,38.487,3.94,0.577,26.037
trace5-2abf_3.csv,46.369,2.348,0.48,35.376
trace5-2abf_4.csv,49.239,0.049,0.501,44.494
trace5-2abf_5.csv,55.5,0.167,0.528,54.023
trace5-2abf_phase_2_1.csv,30.342,4.018,0.57,11.034
trace5-2abf_phase_2_2.csv,23.781,5.518,0.57,9.976
trace5-2abf_phase_2_3.csv,33.482,8.018,0.571,20.411
trace5-2abf_phase_2_4.csv,37.534,5.018,0.572,24.326
trace6-2abf_2.csv,38.656,3.562,0.594,26.037
trace6-2abf_3.csv,46.926,2.0,0.499,35.376
trace6-2abf_4.csv,50.039,0.0,0.52,44.494
trace6-2abf_5.csv,55.5,0.0,0.546,54.023
trace6-2abf_phase_2_1.csv,30.442,3.628,0.587,11.034
trace6-2abf_phase_2_2.csv,23.881,5.128,0.587,9.976
trace6-2abf_phase_2_3.csv,33.582,7.628,0.588,20.411
trace6-2abf_phase_2_4.csv,37.634,4.628,0.589,24.326
trace7-2abf_2.csv,39.182,5.642,0.432,26.037
trace7-2abf_3.csv,46.895,3.982,0.321,35.376
trace7-2abf_4.csv,51.498,3.656,0.345,44.494
trace7-2abf_5.csv,55.5,2.061,0.497,54.023
trace7-2abf_phase_2_1.csv,31.037,5.72,0.43,11.034
trace7-2abf_phase_2_2.csv,24.476,7.22,0.43,9.976
trace7-2abf_phase_2_3.csv,34.177,9.72,0.429,20.411
trace7-2abf_phase_2_4.csv,38.229,6.72,0.429,24.326
trace8-2abf_2.csv,47.871,6.14,0.054,45.66
trace8-2abf_3.csv,57.141,5.296,0.049,54.998
trace8-2abf_4.csv,64.029,3.377,0.051,64.117
trace8-2abf_5.csv,74.967,5.345,-0.096,73.646
trace8-2abf_phase_2_1.csv,38.872,6.069,0.113,30.657
trace8-2abf_phase_2_2.csv,32.311,7.569,0.072,29.599
trace8-2abf_phase_2_3.csv,42.012,10.069,0.069,40.034
trace8-2abf_phase_2_4.csv,46.064,7.069,0.065,43.949
trace9-2abf_2.csv,45.331,5.135,0.265,39.119
trace9-2abf_3.csv,52.311,3.385,0.272,48.457
trace9-2abf_4.csv,60.658,2.043,0.153,57.576
trace9-2abf_5.csv,66.919,2.161,0.189,67.105
trace9-2abf_phase_2_1.csv,36.332,5.064,0.312,24.116
trace9-2abf_phase_2_2.csv,29.771,6.564,0.263,23.058
trace9-2abf_phase_2_3.csv,39.472,9.064,0.262,33.493
trace9-2abf_phase_2_4.csv,43.524,6.064,0.262,37.408
