streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace0-2c06_2.csv,45.411,6.425,0.573,26.982
trace0-2c06_3.csv,54.276,6.234,0.489,37.222
trace0-2c06_4.csv,60.319,6.043,0.509,49.216
trace0-2c06_5.csv,70.145,5.649,0.636,63.552
trace0-2c06_phase_2_1.csv,11.367,9.516,0.453,-14.337
trace0-2c06_phase_2_2.csv,12.301,6.182,0.558,-7.655
trace0-2c06_phase_2_3.csv,22.74,7.682,0.56,2.722
trace0-2c06_phase_2_4.csv,33.374,7.182,0.562,13.358
trace1-2c06_2.csv,47.786,1.779,0.657,26.982
trace1-2c06_3.csv,56.603,1.58,0.67,37.222
trace1-2c06_4.csv,65.748,0.0,0.601,49.216
trace1-2c06_5.csv,75.622,0.0,0.626,63.552
trace1-2c06_phase_2_1.csv,12.137,4.612,0.55,-14.337
trace1-2c06_phase_2_2.csv,13.071,1.279,0.642,-7.655
trace1-2c06_phase_2_3.csv,23.51,2.779,0.644,2.722
trace1-2c06_phase_2_4.csv,34.144,2.279,0.647,13.358
trace2-2c06_2.csv,45.705,1.747,0.587,30.891
trace2-2c06_3.csv,56.513,2.069,0.507,41.131
trace2-2c06_4.csv,61.072,0.0,0.619,53.125
trace2-2c06_5.csv,75.622,0.0,0.553,67.461
trace2-2c06_phase_2_1.csv,11.561,4.821,0.472,-10.428
trace2-2c06_phase_2_2.csv,12.495,1.488,0.571,-3.746
trace2-2c06_phase_2_3.csv,22.934,2.988,0.573,6.631
trace2-2c06_phase_2_4.csv,33.568,2.488,0.576,17.266
trace3-2c06_2.csv,47.786,3.821,0.406,34.8
trace3-2c06_3.csv,56.363,3.547,0.413,45.04
trace3-2c06_4.csv,65.122,0.793,0.306,57.034
trace3-2c06_5.csv,74.822,1.192,0.338,71.37
trace3-2c06_phase_2_1.csv,12.137,6.655,0.404,-6.519
trace3-2c06_phase_2_2.csv,13.071,3.321,0.404,0.163
trace3-2c06_phase_2_3.csv,23.51,4.821,0.404,10.54
trace3-2c06_phase_2_4.csv,34.144,4.321,0.404,21.175
trace4-2c06_2.csv,40.145,0.302,0.942,7.359
trace4-2c06_3.csv,48.77,0.035,0.887,17.599
trace4-2c06_4.csv,51.758,0.0,0.9,29.593
trace4-2c06_5.csv,60.832,0.0,0.916,43.929
trace4-2c06_phase_2_1.csv,6.101,3.392,0.864,-33.96
trace4-2c06_phase_2_2.csv,7.035,0.059,0.933,-27.277
trace4-2c06_phase_2_3.csv,17.474,1.559,0.934,-16.9
trace4-2c06_phase_2_4.csv,28.108,1.059,0.935,-6.265
trace5-2c06_2.csv,45.705,1.747,0.412,34.8
trace5-2c06_3.csv,56.513,2.069,0.311,45.04
trace5-2c06_4.csv,61.072,0.0,0.441,57.034
trace5-2c06_5.csv,75.622,0.0,0.366,71.37
trace5-2c06_phase_2_1.csv,11.561,4.821,0.41,-6.519
trace5-2c06_phase_2_2.csv,12.495,1.488,0.41,0.163
trace5-2c06_phase_2_3.csv,22.934,2.988,0.41,10.54
trace5-2c06_phase_2_4.csv,33.568,2.488,0.41,21.175
trace6-2c06_2.csv,49.32,7.352,-0.064,47.882
trace6-2c06_3.csv,60.128,7.674,-0.243,58.121
trace6-2c06_4.csv,67.062,7.64,-0.008,70.116
trace6-2c06_5.csv,81.564,8.711,0.061,84.452
trace6-2c06_phase_2_1.csv,15.176,10.427,-0.004,6.563
trace6-2c06_phase_2_2.csv,16.11,7.093,-0.045,13.245
trace6-2c06_phase_2_3.csv,26.549,8.593,-0.049,23.622
trace6-2c06_phase_2_4.csv,37.183,8.093,-0.052,34.257
trace7-2c06_2.csv,45.705,1.747,0.587,30.891
trace7-2c06_3.csv,56.513,2.069,0.507,41.131
trace7-2c06_4.csv,61.072,0.0,0.619,53.125
trace7-2c06_5.csv,75.622,0.0,0.553,67.461
trace7-2c06_phase_2_1.csv,11.561,4.821,0.472,-10.428
trace7-2c06_phase_2_2.csv,12.495,1.488,0.571,-3.746
trace7-2c06_phase_2_3.csv,22.934,2.988,0.573,6.631
trace7-2c06_phase_2_4.csv,33.568,2.488,0.576,17.266
trace8-2c06_2.csv,43.741,1.131,0.824,20.441
trace8-2c06_3.csv,53.232,1.04,0.758,30.681
trace8-2c06_4.csv,57.701,0.0,0.773,42.675
trace8-2c06_5.csv,67.574,0.0,0.793,57.011
trace8-2c06_phase_2_1.csv,9.597,4.205,0.736,-20.878
trace8-2c06_phase_2_2.csv,10.531,0.872,0.812,-14.195
trace8-2c06_phase_2_3.csv,20.97,2.372,0.814,-3.819
trace8-2c06_phase_2_4.csv,31.604,1.872,0.816,6.817
trace9-2c06_2.csv,49.32,7.352,0.217,40.064
trace9-2c06_3.csv,60.128,7.674,0.14,50.304
trace9-2c06_4.csv,67.062,7.64,0.274,62.298
trace9-2c06_5.csv,81.564,8.711,0.318,76.634
trace9-2c06_phase_2_1.csv,15.176,10.427,0.142,-1.255
trace9-2c06_phase_2_2.csv,16.11,7.093,0.196,5.427
trace9-2c06_phase_2_3.csv,26.549,8.593,0.199,15.804
trace9-2c06_phase_2_4.csv,37.183,8.093,0.202,26.439
