streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace0-1a6d_2.csv,40.642,11.025,0.18,27.22
trace0-1a6d_3.csv,47.499,10.596,0.315,39.819
trace0-1a6d_4.csv,52.516,9.914,0.35,44.743
trace0-1a6d_5.csv,63.616,9.596,0.391,55.918
trace0-1a6d_phase_2_1.csv,74.508,11.311,0.167,64.523
trace0-1a6d_phase_2_2.csv,73.563,11.096,0.167,63.978
trace0-1a6d_phase_2_3.csv,73.208,10.096,0.142,63.59
trace0-1a6d_phase_2_4.csv,79.924,12.0,0.145,68.851
trace1-1a6d_2.csv,37.027,10.4,0.601,14.139
trace1-1a6d_3.csv,43.884,9.972,0.7,26.737
trace1-1a6d_4.csv,47.343,9.021,0.716,31.661
trace1-1a6d_5.csv,57.674,8.569,0.657,42.836
trace1-1a6d_phase_2_1.csv,63.089,9.337,0.607,51.441
trace1-1a6d_phase_2_2.csv,62.145,9.123,0.607,50.896
trace1-1a6d_phase_2_3.csv,61.79,8.123,0.581,50.508
trace1-1a6d_phase_2_4.csv,68.506,10.027,0.583,55.769
trace2-1a6d_2.csv,40.642,11.025,0.125,31.129
trace2-1a6d_3.csv,47.499,10.596,0.266,43.728
trace2-1a6d_4.csv,52.516,9.914,0.303,48.652
trace2-1a6d_5.csv,63.616,9.596,0.346,59.827
trace2-1a6d_phase_2_1.csv,74.508,11.311,0.164,68.432
trace2-1a6d_phase_2_2.csv,73.563,11.096,0.164,67.887
trace2-1a6d_phase_2_3.csv,73.208,10.096,0.132,67.499
trace2-1a6d_phase_2_4.csv,79.924,12.0,0.13,72.76
trace3-1a6d_2.csv,37.027,10.4,0.601,14.139
trace3-1a6d_3.csv,43.884,9.972,0.7,26.737
trace3-1a6d_4.csv,47.343,9.021,0.716,31.661
trace3-1a6d_5.csv,57.674,8.569,0.657,42.836
trace3-1a6d_phase_2_1.csv,63.089,9.337,0.607,51.441
trace3-1a6d_phase_2_2.csv,62.145,9.123,0.607,50.896
trace3-1a6d_phase_2_3.csv,61.79,8.123,0.581,50.508
trace3-1a6d_phase_2_4.csv,68.506,10.027,0.583,55.769
trace4-1a6d_2.csv,40.642,11.025,-0.222,35.038
trace4-1a6d_3.csv,47.499,10.596,-0.004,47.637
trace4-1a6d_4.csv,52.516,9.914,0.054,52.56
trace4-1a6d_5.csv,63.616,9.596,0.119,63.736
trace4-1a6d_phase_2_1.csv,74.508,11.311,-0.182,72.34
trace4-1a6d_phase_2_2.csv,73.563,11.096,-0.182,71.796
trace4-1a6d_phase_2_3.csv,73.208,10.096,-0.221,71.407
trace4-1a6d_phase_2_4.csv,79.924,12.0,-0.219,76.669
trace5-1a6d_2.csv,40.642,11.025,-0.222,35.038
trace5-1a6d_3.csv,47.499,10.596,-0.004,47.637
trace5-1a6d_4.csv,52.516,9.914,0.054,52.56
trace5-1a6d_5.csv,63.616,9.596,0.119,63.736
trace5-1a6d_phase_2_1.csv,74.508,11.311,-0.182,72.34
trace5-1a6d_phase_2_2.csv,73.563,11.096,-0.182,71.796
trace5-1a6d_phase_2_3.csv,73.208,10.096,-0.221,71.407
trace5-1a6d_phase_2_4.csv,79.924,12.0,-0.219,76.669
trace6-1a6d_2.csv,41.25,10.551,0.121,35.038
trace6-1a6d_3.csv,48.907,10.081,0.252,47.637
trace6-1a6d_4.csv,52.606,9.171,0.277,52.56
trace6-1a6d_5.csv,63.616,8.838,0.204,63.736
trace6-1a6d_phase_2_1.csv,69.832,9.744,0.163,72.34
trace6-1a6d_phase_2_2.csv,68.887,9.53,0.163,71.796
trace6-1a6d_phase_2_3.csv,68.532,8.53,0.131,71.407
trace6-1a6d_phase_2_4.csv,74.192,10.488,0.132,76.669
trace7-1a6d_2.csv,43.213,10.89,0.07,33.761
trace7-1a6d_3.csv,50.87,10.42,0.217,46.36
trace7-1a6d_4.csv,55.887,9.738,0.255,51.284
trace7-1a6d_5.csv,66.988,9.42,0.299,62.459
trace7-1a6d_phase_2_1.csv,77.879,11.134,0.119,71.064
trace7-1a6d_phase_2_2.csv,76.935,10.92,0.119,70.519
trace7-1a6d_phase_2_3.csv,76.58,9.92,0.087,70.131
trace7-1a6d_phase_2_4.csv,82.239,11.879,0.087,75.392
trace8-1a6d_2.csv,44.621,10.375,0.302,33.761
trace8-1a6d_3.csv,56.954,9.661,0.321,46.36
trace8-1a6d_4.csv,60.653,8.751,0.345,51.284
trace8-1a6d_5.csv,71.664,8.417,0.314,62.459
trace8-1a6d_phase_2_1.csv,77.879,9.324,0.286,71.064
trace8-1a6d_phase_2_2.csv,76.935,9.109,0.286,70.519
trace8-1a6d_phase_2_3.csv,76.58,8.109,0.257,70.131
trace8-1a6d_phase_2_4.csv,81.451,10.109,0.258,75.392
trace9-1a6d_2.csv,38.678,10.685,0.22,28.497
trace9-1a6d_3.csv,45.535,10.257,0.341,41.096
trace9-1a6d_4.csv,49.235,9.347,0.365,46.02
trace9-1a6d_5.csv,60.245,9.014,0.297,57.195
trace9-1a6d_phase_2_1.csv,66.461,9.92,0.207,65.799
trace9-1a6d_phase_2_2.csv,65.516,9.706,0.207,65.255
trace9-1a6d_phase_2_3.csv,65.161,8.706,0.184,64.867
trace9-1a6d_phase_2_4.csv,71.877,10.609,0.187,70.128
