streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace0-06a6_1.csv,9.469,4.284,-0.031,0.788
trace0-06a6_3.csv,54.776,2.059,-0.093,53.281
trace0-06a6_4.csv,66.013,2.809,-0.275,64.687
trace0-06a6_5.csv,72.66,0.0,-0.032,75.945
trace0-06a6_phase_2_1.csv,8.612,3.602,-0.071,5.688
trace0-06a6_phase_2_2.csv,19.65,6.936,-0.075,16.728
trace0-06a6_phase_2_3.csv,30.587,5.102,-0.079,27.656
trace0-06a6_phase_2_4.csv,41.783,4.674,-0.083,38.852
trace1-06a6_1.csv,7.505,2.764,0.276,-13.571
trace1-06a6_3.csv,51.404,0.0,0.303,38.922
trace1-06a6_4.csv,57.966,0.0,0.322,50.328
trace1-06a6_5.csv,64.613,0.0,0.469,61.587
trace1-06a6_phase_2_1.csv,6.648,2.082,0.399,-8.671
trace1-06a6_phase_2_2.csv,17.686,5.416,0.402,2.369
trace1-06a6_phase_2_3.csv,28.623,3.582,0.405,13.297
trace1-06a6_phase_2_4.csv,39.819,3.154,0.408,24.493
trace2-06a6_1.csv,7.818,5.384,0.127,-13.571
trace2-06a6_3.csv,52.114,3.972,0.157,38.922
trace2-06a6_4.csv,57.966,0.662,0.293,50.328
trace2-06a6_5.csv,69.289,0.0,0.331,61.587
trace2-06a6_phase_2_1.csv,6.961,4.702,0.236,-8.671
trace2-06a6_phase_2_2.csv,17.999,8.035,0.239,2.369
trace2-06a6_phase_2_3.csv,28.936,6.202,0.242,13.297
trace2-06a6_phase_2_4.csv,40.132,5.773,0.245,24.493
trace3-06a6_1.csv,0.588,0.0,0.772,-39.735
trace3-06a6_3.csv,43.327,0.0,0.789,12.759
trace3-06a6_4.csv,46.851,0.0,0.801,24.165
trace3-06a6_5.csv,51.928,0.0,0.817,35.423
trace3-06a6_phase_2_1.csv,0.0,0.0,0.85,-34.835
trace3-06a6_phase_2_2.csv,10.769,0.0,0.852,-23.795
trace3-06a6_phase_2_3.csv,21.706,0.0,0.854,-12.866
trace3-06a6_phase_2_4.csv,32.902,0.0,0.855,-1.67
trace4-06a6_1.csv,4.203,0.0,0.481,-26.653
trace4-06a6_3.csv,46.942,0.0,0.499,25.84
trace4-06a6_4.csv,52.023,0.0,0.515,37.246
trace4-06a6_5.csv,57.87,0.0,0.638,48.505
trace4-06a6_phase_2_1.csv,3.346,0.0,0.58,-21.753
trace4-06a6_phase_2_2.csv,14.384,0.86,0.582,-10.713
trace4-06a6_phase_2_3.csv,25.321,0.0,0.584,0.215
trace4-06a6_phase_2_4.csv,36.517,0.0,0.587,11.412
trace5-06a6_1.csv,3.89,0.0,0.596,-26.653
trace5-06a6_3.csv,46.869,0.0,0.611,25.84
trace5-06a6_4.csv,51.313,0.0,0.626,37.246
trace5-06a6_5.csv,57.87,0.0,0.646,48.505
trace5-06a6_phase_2_1.csv,3.033,0.0,0.687,-21.753
trace5-06a6_phase_2_2.csv,14.071,0.0,0.689,-10.713
trace5-06a6_phase_2_3.csv,25.008,0.0,0.691,0.215
trace5-06a6_phase_2_4.csv,36.204,0.0,0.693,11.412
trace6-06a6_1.csv,3.89,0.0,0.56,-22.744
trace6-06a6_3.csv,47.549,0.0,0.576,29.749
trace6-06a6_4.csv,52.113,0.0,0.591,41.155
trace6-06a6_5.csv,57.87,0.0,0.611,52.414
trace6-06a6_phase_2_1.csv,3.033,0.0,0.654,-17.844
trace6-06a6_phase_2_2.csv,14.071,0.0,0.656,-6.804
trace6-06a6_phase_2_3.csv,25.008,0.0,0.658,4.124
trace6-06a6_phase_2_4.csv,36.204,0.0,0.66,15.32
trace7-06a6_1.csv,4.203,0.0,0.404,-22.744
trace7-06a6_3.csv,46.942,0.0,0.424,29.749
trace7-06a6_4.csv,52.023,0.0,0.441,41.155
trace7-06a6_5.csv,57.87,0.0,0.573,52.414
trace7-06a6_phase_2_1.csv,3.346,0.0,0.511,-17.844
trace7-06a6_phase_2_2.csv,14.384,0.86,0.513,-6.804
trace7-06a6_phase_2_3.csv,25.321,0.0,0.515,4.124
trace7-06a6_phase_2_4.csv,36.517,0.0,0.518,15.32
trace8-06a6_1.csv,9.469,0.0,0.035,0.788
trace8-06a6_3.csv,56.093,0.0,-0.027,53.281
trace8-06a6_4.csv,66.103,0.0,-0.031,64.687
trace8-06a6_5.csv,77.336,0.0,-0.196,75.945
trace8-06a6_phase_2_1.csv,8.612,0.0,-0.006,5.688
trace8-06a6_phase_2_2.csv,19.65,0.0,-0.01,16.728
trace8-06a6_phase_2_3.csv,30.587,0.0,-0.013,27.656
trace8-06a6_phase_2_4.csv,41.783,0.0,-0.017,38.852
trace9-06a6_1.csv,5.854,1.486,0.227,-12.294
trace9-06a6_3.csv,48.833,0.0,0.093,40.199
trace9-06a6_4.csv,54.594,0.0,0.115,51.605
trace9-06a6_5.csv,61.241,0.0,0.29,62.864
trace9-06a6_phase_2_1.csv,4.997,0.804,0.227,-7.394
trace9-06a6_phase_2_2.csv,16.035,4.138,0.227,3.646
trace9-06a6_phase_2_3.csv,26.972,2.304,0.227,14.574
trace9-06a6_phase_2_4.csv,38.168,1.876,0.227,25.77
