streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace0-4b69_1.csv,3.001,0.0,-0.047,-8.13
trace0-4b69_2.csv,4.62,0.0,-0.311,-0.803
trace0-4b69_3.csv,9.439,0.0,-0.086,9.439
trace0-4b69_5.csv,59.389,0.0,0.03,59.473
trace0-4b69_phase_2_1.csv,69.519,0.0,-0.302,67.724
trace0-4b69_phase_2_2.csv,70.574,0.0,-0.302,68.872
trace0-4b69_phase_2_3.csv,69.634,0.0,-0.302,67.769
trace0-4b69_phase_2_4.csv,70.054,0.0,-0.292,68.215
trace1-4b69_1.csv,8.991,7.5,-0.205,-2.866
trace1-4b69_2.csv,10.563,7.813,-0.056,4.461
trace1-4b69_3.csv,20.858,8.611,-0.006,14.703
trace1-4b69_5.csv,70.808,8.214,0.111,64.737
trace1-4b69_phase_2_1.csv,80.938,10.0,-0.176,72.988
trace1-4b69_phase_2_2.csv,81.993,10.0,-0.176,74.136
trace1-4b69_phase_2_3.csv,81.053,9.286,-0.176,73.033
trace1-4b69_phase_2_4.csv,81.472,11.667,-0.194,73.479
trace2-4b69_1.csv,4.946,0.0,0.087,-9.407
trace2-4b69_2.csv,7.192,0.0,0.058,-2.08
trace2-4b69_3.csv,12.81,0.0,0.211,8.162
trace2-4b69_5.csv,62.76,0.0,0.283,58.196
trace2-4b69_phase_2_1.csv,72.89,0.0,0.1,66.447
trace2-4b69_phase_2_2.csv,73.946,0.0,0.096,67.595
trace2-4b69_phase_2_3.csv,73.005,0.0,0.119,66.492
trace2-4b69_phase_2_4.csv,73.425,0.0,0.096,66.938
trace3-4b69_1.csv,5.376,12.092,0.286,-15.948
trace3-4b69_2.csv,6.948,12.405,0.368,-8.621
trace3-4b69_3.csv,17.243,13.203,0.382,1.621
trace3-4b69_5.csv,65.917,14.428,0.358,51.655
trace3-4b69_phase_2_1.csv,70.439,23.337,0.292,59.906
trace3-4b69_phase_2_2.csv,71.494,23.337,0.289,61.054
trace3-4b69_phase_2_3.csv,70.554,22.623,0.289,59.951
trace3-4b69_phase_2_4.csv,74.629,20.361,0.273,60.397
trace4-4b69_1.csv,5.376,12.092,0.283,-15.948
trace4-4b69_2.csv,6.948,12.405,0.366,-8.621
trace4-4b69_3.csv,17.243,13.203,0.38,1.621
trace4-4b69_5.csv,65.917,14.428,0.356,51.655
trace4-4b69_phase_2_1.csv,70.439,23.337,0.27,59.906
trace4-4b69_phase_2_2.csv,71.494,23.337,0.27,61.054
trace4-4b69_phase_2_3.csv,70.554,22.623,0.27,59.951
trace4-4b69_phase_2_4.csv,74.629,20.361,0.27,60.397
trace5-4b69_1.csv,7.028,9.995,0.182,-9.407
trace5-4b69_2.csv,8.599,10.307,0.217,-2.08
trace5-4b69_3.csv,18.894,11.106,0.233,8.162
trace5-4b69_5.csv,68.357,11.328,0.204,58.196
trace5-4b69_phase_2_1.csv,72.89,20.223,0.164,66.447
trace5-4b69_phase_2_2.csv,73.946,20.223,0.164,67.595
trace5-4b69_phase_2_3.csv,73.005,19.509,0.164,66.492
trace5-4b69_phase_2_4.csv,76.642,17.802,0.166,66.938
trace6-4b69_1.csv,5.376,12.092,0.211,-12.039
trace6-4b69_2.csv,6.948,12.405,0.299,-4.712
trace6-4b69_3.csv,17.243,13.203,0.314,5.53
trace6-4b69_5.csv,65.917,14.428,0.288,55.564
trace6-4b69_phase_2_1.csv,70.439,23.337,0.26,63.815
trace6-4b69_phase_2_2.csv,71.494,23.337,0.26,64.963
trace6-4b69_phase_2_3.csv,70.554,22.623,0.27,63.86
trace6-4b69_phase_2_4.csv,74.629,20.361,0.247,64.306
trace7-4b69_1.csv,1.038,0.0,0.368,-22.489
trace7-4b69_2.csv,2.657,0.0,0.379,-15.162
trace7-4b69_3.csv,7.475,0.0,0.5,-4.92
trace7-4b69_5.csv,56.938,0.0,0.435,45.114
trace7-4b69_phase_2_1.csv,61.471,0.0,0.356,53.366
trace7-4b69_phase_2_2.csv,62.527,0.0,0.356,54.514
trace7-4b69_phase_2_3.csv,61.586,0.0,0.356,53.41
trace7-4b69_phase_2_4.csv,65.224,0.0,0.356,53.856
trace8-4b69_1.csv,5.376,12.092,0.189,-8.13
trace8-4b69_2.csv,6.948,12.405,0.102,-0.803
trace8-4b69_3.csv,17.243,13.203,0.093,9.439
trace8-4b69_5.csv,65.917,14.428,-0.056,59.473
trace8-4b69_phase_2_1.csv,70.439,23.337,-0.117,67.724
trace8-4b69_phase_2_2.csv,71.494,23.337,-0.117,68.872
trace8-4b69_phase_2_3.csv,70.554,22.623,-0.117,67.769
trace8-4b69_phase_2_4.csv,74.629,20.361,-0.115,68.215
trace9-4b69_1.csv,7.028,9.995,0.04,-1.589
trace9-4b69_2.csv,8.599,10.307,-0.011,5.738
trace9-4b69_3.csv,18.894,11.106,-0.021,15.98
trace9-4b69_5.csv,68.357,11.328,-0.19,66.014
trace9-4b69_phase_2_1.csv,72.89,20.223,-0.265,74.265
trace9-4b69_phase_2_2.csv,73.946,20.223,-0.251,75.413
trace9-4b69_phase_2_3.csv,73.005,19.509,-0.265,74.31
trace9-4b69_phase_2_4.csv,76.642,17.802,-0.299,74.756
