streaming_log,KSQI,SENSEI_KSQI,P1203,Bentaleb2016QoE
trace0-6403_1.csv,10.573,16.865,0.281,-6.274
trace0-6403_2.csv,9.982,14.029,0.281,0.462
trace0-6403_3.csv,20.211,13.742,0.155,10.023
trace0-6403_4.csv,23.137,9.209,0.304,20.079
trace0-6403_phase_2_1.csv,68.386,27.555,0.122,67.944
trace0-6403_phase_2_2.csv,67.617,28.019,0.122,67.124
trace0-6403_phase_2_3.csv,68.551,26.603,0.101,68.104
trace0-6403_phase_2_4.csv,68.141,26.769,0.098,68.306
trace1-6403_1.csv,6.528,12.763,0.472,-12.815
trace1-6403_2.csv,6.611,10.609,0.359,-6.079
trace1-6403_3.csv,12.164,5.58,0.373,3.482
trace1-6403_4.csv,15.09,1.048,0.505,13.538
trace1-6403_phase_2_1.csv,60.339,19.393,0.347,61.403
trace1-6403_phase_2_2.csv,59.57,19.858,0.347,60.583
trace1-6403_phase_2_3.csv,60.503,18.441,0.327,61.563
trace1-6403_phase_2_4.csv,60.094,18.608,0.324,61.765
trace2-6403_1.csv,10.913,13.227,0.23,0.267
trace2-6403_2.csv,12.501,15.22,0.062,7.003
trace2-6403_3.csv,17.38,8.334,0.203,16.564
trace2-6403_4.csv,25.151,16.087,0.224,26.62
trace2-6403_phase_2_1.csv,71.758,29.625,0.116,74.485
trace2-6403_phase_2_2.csv,70.988,30.09,0.116,73.665
trace2-6403_phase_2_3.csv,71.922,28.673,0.076,74.645
trace2-6403_phase_2_4.csv,71.512,28.84,0.099,74.847
trace3-6403_1.csv,13.113,0.0,0.038,0.267
trace3-6403_2.csv,12.422,0.0,-0.05,7.003
trace3-6403_3.csv,22.025,0.0,-0.227,16.564
trace3-6403_4.csv,26.61,0.0,-0.006,26.62
trace3-6403_phase_2_1.csv,76.434,0.0,-0.224,74.485
trace3-6403_phase_2_2.csv,75.665,0.0,-0.224,73.665
trace3-6403_phase_2_3.csv,76.598,0.0,-0.243,74.645
trace3-6403_phase_2_4.csv,76.189,0.0,-0.247,74.847
trace4-6403_1.csv,7.123,0.0,0.279,-12.815
trace4-6403_2.csv,6.48,0.0,0.146,-6.079
trace4-6403_3.csv,10.606,0.0,0.163,3.482
trace4-6403_4.csv,15.191,0.0,0.326,13.538
trace4-6403_phase_2_1.csv,65.015,0.0,0.13,61.403
trace4-6403_phase_2_2.csv,64.246,0.0,0.13,60.583
trace4-6403_phase_2_3.csv,65.18,0.0,0.109,61.563
trace4-6403_phase_2_4.csv,64.77,0.0,0.106,61.765
trace5-6403_1.csv,10.913,13.227,0.189,0.267
trace5-6403_2.csv,12.501,15.22,0.002,7.003
trace5-6403_3.csv,17.38,8.334,0.15,16.564
trace5-6403_4.csv,25.151,16.087,0.172,26.62
trace5-6403_phase_2_1.csv,71.758,29.625,0.027,74.485
trace5-6403_phase_2_2.csv,70.988,30.09,0.027,73.665
trace5-6403_phase_2_3.csv,71.922,28.673,0.012,74.645
trace5-6403_phase_2_4.csv,71.512,28.84,0.009,74.847
trace6-6403_1.csv,9.068,19.761,0.264,-6.274
trace6-6403_2.csv,10.656,21.754,0.145,0.462
trace6-6403_3.csv,15.535,14.868,0.279,10.023
trace6-6403_4.csv,23.137,23.219,0.3,20.079
trace6-6403_phase_2_1.csv,68.386,41.565,0.129,67.944
trace6-6403_phase_2_2.csv,67.617,42.029,0.129,67.124
trace6-6403_phase_2_3.csv,68.551,40.613,0.109,68.104
trace6-6403_phase_2_4.csv,68.141,40.779,0.106,68.306
trace7-6403_1.csv,9.068,19.761,0.264,-6.274
trace7-6403_2.csv,10.656,21.754,0.145,0.462
trace7-6403_3.csv,15.535,14.868,0.279,10.023
trace7-6403_4.csv,23.137,23.219,0.3,20.079
trace7-6403_phase_2_1.csv,68.386,41.565,0.129,67.944
trace7-6403_phase_2_2.csv,67.617,42.029,0.129,67.124
trace7-6403_phase_2_3.csv,68.551,40.613,0.109,68.104
trace7-6403_phase_2_4.csv,68.141,40.779,0.106,68.306
trace8-6403_1.csv,13.113,23.863,0.137,0.267
trace8-6403_2.csv,14.027,25.173,0.055,7.003
trace8-6403_3.csv,23.583,23.03,0.045,16.564
trace8-6403_4.csv,31.185,31.381,0.042,26.62
trace8-6403_phase_2_1.csv,76.434,49.727,-0.146,74.485
trace8-6403_phase_2_2.csv,75.665,50.191,-0.146,73.665
trace8-6403_phase_2_3.csv,76.598,48.774,-0.168,74.645
trace8-6403_phase_2_4.csv,76.189,48.941,-0.172,74.847
trace9-6403_1.csv,8.968,11.254,0.218,-6.274
trace9-6403_2.csv,9.93,12.612,0.096,0.462
trace9-6403_3.csv,14.009,4.915,0.234,10.023
trace9-6403_4.csv,21.78,12.668,0.254,20.079
trace9-6403_phase_2_1.csv,68.386,26.206,0.084,67.944
trace9-6403_phase_2_2.csv,67.617,26.67,0.084,67.124
trace9-6403_phase_2_3.csv,68.551,25.254,0.063,68.104
trace9-6403_phase_2_4.csv,68.141,25.42,0.06,68.306
