representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,169.868,1.833,31.000,30.000,640.000,360.000,0,32.128,0.940,0.939,77.257,37.169,39.164
0,0.000,241.715,1.833,31.000,30.000,640.000,360.000,0,32.182,0.911,0.913,146.695,28.577,33.364
0,0.000,185.008,1.767,31.000,30.000,640.000,360.000,0,31.033,0.935,0.933,98.849,35.943,35.377
0,0.000,234.268,2.000,31.000,30.000,480.000,270.000,0,32.718,0.932,0.941,526.616,33.539,20.317
4,0.000,643.228,1.967,25.000,30.000,640.000,360.000,0,37.328,0.966,0.969,97.998,59.192,45.864
6,0.000,810.379,1.500,28.000,30.000,1280.000,720.000,0,37.918,0.969,0.965,45.858,66.347,62.511
8,0.000,1437.624,1.967,25.000,30.000,1280.000,720.000,0,41.275,0.984,0.984,25.897,80.953,69.678
7,0.000,1046.433,1.967,19.000,30.000,640.000,360.000,0,41.316,0.986,0.987,21.119,81.020,72.525
7,0.000,766.670,1.233,22.000,30.000,640.000,360.000,0,39.546,0.976,0.978,65.180,71.549,63.838
7,0.000,791.827,1.200,22.000,30.000,640.000,360.000,0,39.698,0.980,0.981,44.721,78.121,63.861
8,0.000,1338.090,1.867,22.000,30.000,960.000,540.000,0,41.466,0.989,0.988,18.092,86.147,74.018
8,0.000,1421.280,1.700,31.000,30.000,1920.000,1080.000,0,35.838,0.965,0.960,15.892,78.381,62.863
4,0.000,638.462,1.667,28.000,30.000,960.000,540.000,0,34.638,0.949,0.946,42.569,54.980,50.400
7,0.000,953.240,2.000,25.000,30.000,960.000,540.000,0,39.518,0.976,0.977,47.936,70.017,59.383
8,0.000,1290.740,1.967,25.000,30.000,1280.000,720.000,0,41.999,0.985,0.986,26.484,83.015,70.407
