representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,270.272,1.627,37.000,23.976,640.000,360.000,0,26.856,0.808,0.829,784.441,28.976,15.795
6,0.000,1101.574,1.627,25.000,23.976,640.000,360.000,0,33.664,0.964,0.961,52.883,72.950,43.641
6,0.083,1169.085,1.668,28.000,23.976,960.000,540.000,0,34.852,0.967,0.966,41.743,69.388,48.875
7,0.709,1102.758,1.668,31.000,23.976,1280.000,720.000,0,34.326,0.966,0.963,47.603,70.813,46.100
5,0.209,844.805,1.668,31.000,23.976,960.000,540.000,0,32.553,0.935,0.936,102.996,57.381,49.075
6,1.210,700.867,1.835,28.000,23.976,960.000,540.000,0,37.249,0.973,0.973,28.899,79.473,54.568
4,0.000,594.174,1.835,25.000,23.976,640.000,360.000,0,36.123,0.966,0.966,36.053,69.317,49.773
3,0.000,547.137,1.835,28.000,23.976,640.000,360.000,0,34.183,0.961,0.963,89.592,60.194,57.568
5,0.000,805.172,1.835,25.000,23.976,640.000,360.000,0,35.681,0.974,0.973,41.306,71.731,54.682
5,0.000,953.160,1.835,25.000,23.976,640.000,360.000,0,35.601,0.967,0.970,57.065,69.246,63.500
7,0.000,1115.391,1.835,22.000,23.976,640.000,360.000,0,37.744,0.983,0.983,26.754,88.238,63.977
7,0.000,1008.684,1.835,22.000,23.976,640.000,360.000,0,38.102,0.986,0.985,22.852,91.023,40.000
5,0.000,1142.392,1.835,31.000,23.976,960.000,540.000,0,31.600,0.946,0.944,97.127,60.359,37.636
4,0.000,813.546,1.835,28.000,23.976,640.000,360.000,0,30.810,0.947,0.943,73.073,56.334,21.636
4,0.000,726.589,1.627,34.000,23.976,960.000,540.000,0,29.540,0.931,0.927,114.745,49.886,0.000
