representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,114.347,1.792,37.000,24.000,640.000,360.000,0,33.734,0.936,0.939,1080.847,22.887,45.791
0,0.000,195.916,1.792,34.000,24.000,480.000,270.000,0,30.149,0.854,0.889,769.419,32.646,20.953
0,0.000,207.065,1.792,34.000,24.000,480.000,270.000,0,29.123,0.831,0.871,653.697,35.648,18.419
1,0.000,369.368,1.792,34.000,24.000,640.000,360.000,0,25.190,0.818,0.849,209.355,35.706,17.163
2,0.000,561.448,1.792,37.000,24.000,960.000,540.000,0,24.940,0.835,0.861,210.029,44.361,17.488
3,0.000,695.946,1.792,31.000,24.000,640.000,360.000,0,26.254,0.858,0.882,146.096,46.027,19.047
4,0.000,502.781,1.792,25.000,24.000,640.000,360.000,0,37.443,0.961,0.967,124.735,57.573,52.395
4,0.000,500.027,1.625,25.000,24.000,640.000,360.000,0,36.645,0.963,0.970,50.406,63.775,56.667
3,0.000,452.413,1.833,34.000,24.000,1280.000,720.000,0,35.261,0.962,0.970,59.070,62.332,58.773
4,0.000,504.829,1.833,31.000,24.000,960.000,540.000,0,35.567,0.956,0.967,65.751,62.989,52.455
5,0.000,466.063,1.833,31.000,24.000,1280.000,720.000,0,38.418,0.976,0.981,37.832,75.253,69.955
3,0.000,267.844,1.833,31.000,24.000,960.000,540.000,0,37.494,0.970,0.977,53.684,68.419,66.409
3,0.000,290.941,1.833,31.000,24.000,960.000,540.000,0,37.158,0.968,0.975,44.961,67.395,59.773
5,0.000,434.112,1.833,31.000,24.000,1280.000,720.000,0,38.359,0.975,0.980,49.815,73.494,70.182
9,0.000,981.369,1.833,28.000,24.000,1920.000,1080.000,0,41.361,0.989,0.990,12.258,87.102,81.636
