representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,270.272,1.627,37.000,23.976,640.000,360.000,0,26.856,0.808,0.829,784.441,28.976,15.795
0,0.000,277.660,1.627,37.000,23.976,640.000,360.000,0,27.205,0.829,0.849,692.280,31.705,15.692
3,0.000,629.510,1.668,28.000,23.976,640.000,360.000,0,32.747,0.945,0.948,94.885,53.352,32.075
5,0.000,708.530,1.668,31.000,23.976,960.000,540.000,0,33.065,0.952,0.950,78.464,61.213,41.600
5,0.000,844.805,1.668,31.000,23.976,960.000,540.000,0,32.553,0.935,0.936,103.192,57.381,39.200
5,0.000,531.405,1.835,25.000,23.976,640.000,360.000,0,36.491,0.969,0.970,31.513,75.809,51.295
4,0.000,594.174,1.835,25.000,23.976,640.000,360.000,0,36.123,0.966,0.966,36.150,69.317,54.273
5,0.000,750.711,1.835,25.000,23.976,640.000,360.000,0,35.861,0.975,0.975,49.698,70.376,59.045
3,0.000,584.845,1.835,28.000,23.976,640.000,360.000,0,33.996,0.959,0.961,75.135,61.037,48.795
5,0.000,953.160,1.835,25.000,23.976,640.000,360.000,0,35.601,0.967,0.970,57.252,69.246,52.477
4,0.000,616.489,1.835,28.000,23.976,640.000,360.000,0,34.433,0.960,0.965,95.706,68.518,44.818
4,0.000,565.333,1.835,28.000,23.976,640.000,360.000,0,34.776,0.966,0.969,80.066,72.072,48.182
4,0.000,893.316,1.835,28.000,23.976,640.000,360.000,0,31.058,0.938,0.937,107.958,54.595,37.386
2,0.000,565.041,1.835,31.000,23.976,640.000,360.000,0,29.152,0.920,0.919,136.926,45.604,27.818
4,0.000,726.589,1.627,34.000,23.976,960.000,540.000,0,29.540,0.931,0.927,115.541,49.886,31.026
