representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,148.899,1.933,37.000,30.000,640.000,360.000,0,26.600,0.822,0.822,427.005,22.555,18.397
0,0.000,226.684,1.933,37.000,30.000,640.000,360.000,0,24.398,0.686,0.692,1066.776,17.761,12.466
0,0.000,182.048,1.933,40.000,30.000,640.000,360.000,0,22.801,0.594,0.609,1909.334,14.981,9.121
0,0.000,160.833,1.933,37.000,30.000,480.000,270.000,0,23.017,0.599,0.614,1921.850,14.367,9.552
1,0.000,403.254,1.933,34.000,30.000,640.000,360.000,0,25.712,0.766,0.775,527.808,25.188,14.914
2,0.000,594.492,1.933,34.000,30.000,960.000,540.000,0,27.230,0.867,0.849,140.336,40.556,21.069
2,0.000,514.023,1.533,31.000,30.000,960.000,540.000,0,32.612,0.913,0.913,122.367,49.016,36.022
4,0.000,703.915,1.533,34.000,30.000,1280.000,720.000,0,32.316,0.901,0.902,193.305,46.106,32.913
2,0.000,634.993,1.533,31.000,30.000,960.000,540.000,0,33.374,0.928,0.929,136.407,49.415,32.522
4,0.000,652.756,1.467,34.000,30.000,1280.000,720.000,0,33.806,0.921,0.925,188.673,53.973,36.409
3,0.000,588.485,1.700,31.000,30.000,960.000,540.000,0,34.054,0.932,0.935,125.597,51.953,41.686
3,0.000,585.186,1.700,31.000,30.000,960.000,540.000,0,33.650,0.925,0.926,87.583,51.878,43.353
2,0.000,421.840,1.700,28.000,30.000,640.000,360.000,0,34.169,0.942,0.944,88.539,47.085,40.529
3,0.000,476.579,1.700,31.000,30.000,960.000,540.000,0,34.356,0.938,0.939,96.410,56.376,44.882
4,0.000,402.810,1.600,31.000,30.000,1280.000,720.000,0,37.227,0.969,0.967,40.174,71.309,62.396
