representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,145.440,1.133,31.000,30.000,1280.000,720.000,0,40.298,0.987,0.984,26.240,75.623,71.176
2,0.000,459.325,1.133,25.000,30.000,1920.000,1080.000,0,42.861,0.994,0.991,8.730,90.203,81.235
1,0.000,361.994,1.833,31.000,30.000,1920.000,1080.000,0,40.230,0.987,0.984,12.422,80.205,76.564
1,0.000,344.060,1.833,31.000,30.000,1920.000,1080.000,0,40.240,0.987,0.984,11.615,80.614,75.691
1,0.000,541.584,1.833,28.000,30.000,1920.000,1080.000,0,41.056,0.990,0.987,6.358,84.857,78.836
1,0.000,452.977,1.733,25.000,30.000,1280.000,720.000,0,40.927,0.991,0.987,7.186,83.813,78.615
2,0.000,561.974,1.733,25.000,30.000,1920.000,1080.000,0,41.941,0.994,0.990,3.252,92.007,84.385
2,0.000,562.043,1.733,25.000,30.000,1920.000,1080.000,0,41.919,0.994,0.990,3.254,92.162,85.000
2,0.000,600.351,1.733,25.000,30.000,1920.000,1080.000,0,41.917,0.994,0.990,3.463,91.975,85.000
2,0.000,581.889,1.733,25.000,30.000,1920.000,1080.000,0,41.882,0.994,0.990,3.436,92.132,85.000
2,0.000,565.629,1.733,25.000,30.000,1920.000,1080.000,0,41.896,0.993,0.990,3.468,91.925,85.000
2,0.000,573.850,1.633,25.000,30.000,1920.000,1080.000,0,41.915,0.994,0.990,3.230,92.056,85.000
1,0.000,441.942,1.733,31.000,30.000,1920.000,1080.000,0,39.486,0.984,0.981,8.310,81.014,78.250
2,0.000,777.143,1.733,25.000,30.000,1920.000,1080.000,0,41.692,0.993,0.989,3.309,90.536,83.019
1,0.000,377.169,1.733,31.000,30.000,1920.000,1080.000,0,39.629,0.985,0.982,7.814,81.483,78.500
2,0.000,669.889,1.633,25.000,30.000,1920.000,1080.000,0,41.923,0.994,0.990,3.023,91.418,83.918
