representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,114.347,1.792,37.000,24.000,640.000,360.000,0,33.734,0.936,0.939,1080.847,22.887,45.791
0,0.000,195.916,1.792,34.000,24.000,480.000,270.000,0,30.149,0.854,0.889,769.419,32.646,20.953
0,0.000,207.065,1.792,34.000,24.000,480.000,270.000,0,29.123,0.831,0.871,653.697,35.648,18.419
0,0.000,245.434,1.792,37.000,24.000,640.000,360.000,0,23.948,0.743,0.790,410.625,28.176,14.000
5,0.000,936.076,1.792,37.000,24.000,1280.000,720.000,0,26.308,0.886,0.901,120.788,55.993,22.744
6,0.000,1518.858,1.792,34.000,24.000,1280.000,720.000,0,28.499,0.918,0.929,78.241,66.977,32.698
7,0.000,873.855,1.792,25.000,24.000,960.000,540.000,0,38.804,0.971,0.975,65.200,70.296,63.140
7,0.000,923.377,1.625,28.000,24.000,1280.000,720.000,0,38.561,0.976,0.980,30.056,76.016,71.538
8,0.000,1036.381,1.833,31.000,24.000,1920.000,1080.000,0,38.959,0.984,0.987,18.509,81.329,79.045
9,0.000,1675.981,1.833,28.000,24.000,1920.000,1080.000,0,40.204,0.985,0.988,13.601,87.100,78.500
7,0.000,799.628,1.833,31.000,24.000,1920.000,1080.000,0,39.911,0.983,0.986,21.457,82.317,78.432
7,0.000,678.340,1.833,31.000,24.000,1920.000,1080.000,0,40.398,0.984,0.987,22.812,82.665,79.727
9,0.000,1015.305,1.833,28.000,24.000,1920.000,1080.000,0,41.240,0.988,0.989,9.852,87.400,80.318
9,0.000,1005.220,1.833,28.000,24.000,1920.000,1080.000,0,41.417,0.988,0.990,18.591,86.352,82.818
9,0.000,981.369,1.833,28.000,24.000,1920.000,1080.000,0,41.361,0.989,0.990,11.958,87.102,83.045
