representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,114.347,1.792,37.000,24.000,640.000,360.000,0,33.734,0.936,0.939,1080.847,22.887,45.791
4,0.000,594.682,1.792,28.000,24.000,640.000,360.000,0,35.182,0.946,0.960,176.943,61.212,47.884
5,0.000,654.613,1.792,28.000,24.000,640.000,360.000,0,34.123,0.941,0.955,138.675,64.590,48.767
5,0.000,850.261,1.792,37.000,24.000,1280.000,720.000,0,27.012,0.883,0.900,119.571,53.774,26.140
5,0.000,936.076,1.792,37.000,24.000,1280.000,720.000,0,26.308,0.886,0.901,120.049,55.993,23.512
4,0.000,940.429,1.792,34.000,24.000,960.000,540.000,0,26.919,0.876,0.896,138.230,54.457,22.349
3,0.000,347.395,1.792,28.000,24.000,640.000,360.000,0,36.163,0.948,0.956,224.562,46.577,45.372
7,0.000,923.377,1.625,28.000,24.000,1280.000,720.000,0,38.561,0.976,0.980,30.798,76.016,70.179
8,0.000,1036.381,1.833,31.000,24.000,1920.000,1080.000,0,38.959,0.984,0.987,18.509,81.329,79.045
8,0.000,1242.061,1.833,31.000,24.000,1920.000,1080.000,0,38.623,0.978,0.982,24.342,80.585,72.568
9,0.000,1066.700,1.833,28.000,24.000,1920.000,1080.000,0,41.328,0.988,0.989,13.360,87.566,81.909
9,0.000,899.005,1.833,28.000,24.000,1920.000,1080.000,0,41.812,0.989,0.990,14.322,87.660,83.614
7,0.000,755.162,1.833,31.000,24.000,1920.000,1080.000,0,39.815,0.982,0.986,17.019,82.436,76.136
10,0.000,1402.913,1.833,25.000,24.000,1920.000,1080.000,1,42.806,0.992,0.993,11.006,90.483,84.341
9,0.000,981.369,1.833,28.000,24.000,1920.000,1080.000,0,41.361,0.989,0.990,11.899,87.102,83.295
