representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,193.316,1.793,37.000,23.976,640.000,360.000,0,27.454,0.884,0.887,336.509,33.895,21.884
4,0.000,438.978,1.793,31.000,23.976,640.000,360.000,0,32.473,0.930,0.936,189.772,60.437,35.209
9,0.000,1178.162,1.793,28.000,23.976,1280.000,720.000,0,37.330,0.990,0.987,13.738,96.362,72.070
9,0.000,1128.326,1.668,31.000,23.976,1920.000,1080.000,0,37.314,0.992,0.990,9.996,92.170,76.775
8,0.000,1259.941,1.877,34.000,23.976,1920.000,1080.000,0,32.492,0.982,0.972,14.852,76.952,67.022
10,0.000,2013.006,1.877,31.000,23.976,1920.000,1080.000,1,34.139,0.988,0.981,10.687,84.682,73.533
9,0.000,1751.132,1.877,34.000,23.976,1920.000,1080.000,0,32.110,0.977,0.968,22.811,76.811,61.978
10,0.000,1951.060,1.793,31.000,23.976,1920.000,1080.000,1,34.292,0.987,0.981,10.460,84.269,72.930
9,0.000,958.841,1.919,28.000,23.976,1280.000,720.000,0,37.443,0.990,0.986,13.005,94.327,75.696
10,0.000,1450.095,1.919,25.000,23.976,1280.000,720.000,1,38.572,0.993,0.990,6.547,96.066,79.457
9,0.000,1040.359,1.919,28.000,23.976,1280.000,720.000,0,36.628,0.988,0.984,12.098,90.156,72.152
10,0.000,1508.200,1.919,25.000,23.976,1280.000,720.000,1,40.188,0.991,0.990,15.169,94.535,75.696
9,0.000,1884.853,1.919,25.000,23.976,960.000,540.000,0,36.196,0.981,0.978,28.533,87.526,68.870
9,0.000,1719.706,1.919,28.000,23.976,1280.000,720.000,0,34.867,0.989,0.983,13.292,95.673,74.196
9,0.000,1790.567,1.710,28.000,23.976,1280.000,720.000,0,34.392,0.988,0.981,15.166,92.839,73.195
