representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,197.255,1.933,37.000,30.000,960.000,540.000,0,30.525,0.948,0.947,184.743,53.327,45.500
2,0.000,408.228,1.933,31.000,30.000,960.000,540.000,0,33.300,0.970,0.967,97.774,66.854,60.569
5,0.000,1286.959,1.933,28.000,30.000,1920.000,1080.000,0,38.732,0.989,0.987,18.655,87.405,81.448
5,0.000,931.080,1.867,28.000,30.000,1920.000,1080.000,0,40.102,0.990,0.988,18.875,86.651,84.804
6,0.000,1515.655,1.900,22.000,30.000,1920.000,1080.000,0,43.113,0.996,0.994,3.482,93.512,88.614
6,0.000,1401.503,1.900,22.000,30.000,1920.000,1080.000,0,43.326,0.996,0.994,3.642,93.351,89.439
5,0.000,653.860,1.833,28.000,30.000,1920.000,1080.000,0,40.769,0.991,0.989,9.154,87.381,86.382
6,0.000,1713.345,1.600,22.000,30.000,1920.000,1080.000,0,44.667,0.996,0.994,2.625,92.598,88.354
6,0.000,1610.615,1.600,22.000,30.000,1920.000,1080.000,0,44.803,0.996,0.994,3.022,92.882,88.917
5,0.000,1172.170,1.567,28.000,30.000,1920.000,1080.000,0,40.130,0.989,0.987,13.664,86.305,85.255
6,0.000,1396.529,1.567,22.000,30.000,1920.000,1080.000,0,43.555,0.996,0.994,5.647,93.679,88.681
6,0.000,1585.948,1.700,22.000,30.000,1920.000,1080.000,0,45.066,0.996,0.995,3.023,91.975,88.490
5,0.000,1093.334,1.667,25.000,30.000,1920.000,1080.000,0,43.920,0.994,0.993,6.412,89.228,86.640
5,0.000,1232.113,1.867,28.000,30.000,1920.000,1080.000,0,39.786,0.989,0.987,11.676,87.676,84.804
4,0.000,773.112,1.333,28.000,30.000,1280.000,720.000,0,38.030,0.984,0.982,16.866,82.418,80.150
7,0.000,6624.294,1.333,16.000,30.000,1920.000,1080.000,1,45.181,0.998,0.996,0.906,97.217,89.375
