representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,127.289,1.700,28.000,30.000,640.000,360.000,0,40.438,0.987,0.988,59.990,59.915,41.039
5,0.000,480.974,1.700,25.000,30.000,1280.000,720.000,0,44.343,0.993,0.993,13.940,80.639,66.235
5,0.000,747.280,1.700,28.000,30.000,1920.000,1080.000,0,44.273,0.992,0.992,12.473,80.580,71.961
5,0.000,864.061,1.700,28.000,30.000,1920.000,1080.000,0,44.016,0.991,0.991,15.251,79.410,71.431
5,0.000,940.932,1.700,28.000,30.000,1920.000,1080.000,0,43.963,0.990,0.991,21.338,80.926,72.529
5,0.000,624.782,1.667,25.000,30.000,1280.000,720.000,0,43.555,0.993,0.993,7.696,82.841,61.060
5,0.000,769.705,1.900,25.000,30.000,1280.000,720.000,0,42.726,0.993,0.993,10.591,80.276,61.789
5,0.000,835.469,1.900,25.000,30.000,1280.000,720.000,0,42.503,0.993,0.992,10.196,81.868,61.614
4,0.000,409.655,1.900,28.000,30.000,1280.000,720.000,0,41.842,0.994,0.993,7.273,79.049,52.053
3,0.000,315.423,1.900,28.000,30.000,960.000,540.000,0,40.429,0.993,0.992,10.545,70.590,37.333
2,0.000,299.149,1.900,28.000,30.000,960.000,540.000,0,40.849,0.992,0.991,32.391,68.359,39.982
3,0.000,348.333,1.900,28.000,30.000,1280.000,720.000,0,42.569,0.993,0.993,11.877,77.404,51.386
4,0.000,321.966,1.900,28.000,30.000,1280.000,720.000,0,43.024,0.994,0.993,10.449,77.761,63.632
5,0.000,684.808,1.900,25.000,30.000,1280.000,720.000,0,43.341,0.993,0.993,7.453,81.674,65.754
5,0.000,744.249,1.767,25.000,30.000,1280.000,720.000,0,43.855,0.993,0.993,4.763,83.691,64.170
