representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,219.002,1.633,31.000,30.000,640.000,360.000,0,32.714,0.876,0.881,263.414,34.496,38.082
2,0.000,400.531,1.633,31.000,30.000,960.000,540.000,0,34.219,0.914,0.913,105.888,49.505,46.327
3,0.000,611.976,1.633,28.000,30.000,960.000,540.000,0,35.358,0.939,0.934,49.331,60.762,55.184
4,0.000,659.152,1.567,28.000,30.000,960.000,540.000,0,35.308,0.940,0.935,52.572,63.259,55.723
6,0.000,699.154,1.867,31.000,30.000,1920.000,1080.000,0,37.539,0.985,0.981,25.472,82.401,75.643
6,0.000,788.113,1.867,31.000,30.000,1920.000,1080.000,0,37.391,0.984,0.980,25.948,81.424,77.536
5,0.000,602.353,1.867,28.000,30.000,1280.000,720.000,0,37.444,0.985,0.981,26.401,81.120,77.857
5,0.000,623.837,1.867,28.000,30.000,1280.000,720.000,0,37.449,0.984,0.980,29.157,80.533,77.500
5,0.000,629.730,1.867,28.000,30.000,1280.000,720.000,0,37.471,0.984,0.980,28.268,80.351,76.768
5,0.000,608.760,1.867,28.000,30.000,1280.000,720.000,0,37.656,0.984,0.980,28.892,79.767,77.125
6,0.000,818.040,1.867,25.000,30.000,1280.000,720.000,0,39.027,0.988,0.984,16.847,85.519,80.304
5,0.000,586.809,1.867,28.000,30.000,1280.000,720.000,0,37.812,0.982,0.978,28.270,79.644,76.786
4,0.000,584.923,1.867,28.000,30.000,1280.000,720.000,0,37.945,0.982,0.978,28.789,79.695,76.000
4,0.000,526.993,1.867,28.000,30.000,1280.000,720.000,0,38.130,0.982,0.978,28.033,80.313,75.250
4,0.000,396.866,1.867,31.000,30.000,1280.000,720.000,0,36.923,0.975,0.971,43.502,72.634,69.804
