representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,143.083,1.875,31.000,24.000,640.000,360.000,0,33.712,0.934,0.947,83.825,57.588,50.956
3,0.042,260.855,1.875,31.000,24.000,960.000,540.000,0,34.706,0.955,0.963,46.109,71.604,61.733
4,0.000,246.144,1.875,34.000,24.000,1280.000,720.000,0,34.205,0.956,0.962,43.602,66.158,61.044
3,1.417,262.754,1.875,31.000,24.000,960.000,540.000,0,34.707,0.955,0.962,41.717,66.356,64.333
3,0.000,185.093,1.750,31.000,24.000,960.000,540.000,0,35.629,0.960,0.966,42.961,68.517,36.143
0,0.000,232.285,1.583,37.000,24.000,960.000,540.000,0,26.384,0.860,0.874,169.525,36.461,23.447
0,0.000,236.408,1.583,37.000,24.000,960.000,540.000,0,26.340,0.855,0.870,191.331,35.694,23.553
0,0.000,236.635,1.583,37.000,24.000,960.000,540.000,0,26.439,0.855,0.872,178.644,35.510,24.368
0,0.000,227.749,1.500,37.000,24.000,960.000,540.000,0,26.592,0.861,0.877,171.765,34.788,39.250
1,0.000,173.644,1.792,34.000,24.000,960.000,540.000,0,32.569,0.938,0.947,81.621,49.625,42.093
2,0.000,215.996,1.792,34.000,24.000,960.000,540.000,0,32.936,0.942,0.950,117.788,50.528,35.349
1,0.000,186.288,1.833,37.000,24.000,960.000,540.000,0,31.584,0.906,0.925,152.937,39.603,38.977
2,0.000,237.775,1.833,34.000,24.000,960.000,540.000,0,32.878,0.930,0.944,78.037,50.727,40.250
2,0.000,242.665,1.750,34.000,24.000,960.000,540.000,0,32.705,0.929,0.943,108.022,50.620,55.238
3,0.000,243.183,1.083,31.000,24.000,960.000,540.000,0,36.319,0.970,0.975,61.495,64.111,37.654
3,0.000,254.054,1.042,31.000,24.000,960.000,540.000,0,36.233,0.971,0.976,74.882,65.345,0.000
