representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,79.345,1.933,28.000,30.000,960.000,540.000,0,42.756,0.990,0.988,19.294,77.599,71.034
0,0.000,171.451,1.933,25.000,30.000,640.000,360.000,0,40.866,0.985,0.984,33.773,63.646,52.931
0,0.667,174.012,1.933,25.000,30.000,640.000,360.000,0,40.656,0.985,0.983,35.913,61.991,49.828
0,0.300,139.130,1.933,31.000,30.000,960.000,540.000,0,39.854,0.981,0.981,50.646,58.330,47.207
0,2.067,140.818,1.933,31.000,30.000,960.000,540.000,0,39.798,0.982,0.981,39.848,61.171,61.483
0,0.000,123.414,1.933,31.000,30.000,960.000,540.000,0,40.043,0.983,0.982,33.936,63.084,60.379
0,0.000,95.338,1.933,28.000,30.000,960.000,540.000,0,42.373,0.990,0.988,15.362,76.065,49.828
0,0.000,191.023,1.933,25.000,30.000,640.000,360.000,0,40.431,0.984,0.983,54.278,62.488,60.466
1,0.000,374.189,1.933,28.000,30.000,960.000,540.000,0,39.588,0.980,0.980,49.294,64.719,63.190
2,0.000,342.679,1.933,25.000,30.000,960.000,540.000,0,41.943,0.988,0.986,16.902,76.297,68.966
1,0.000,175.465,1.933,28.000,30.000,960.000,540.000,0,41.424,0.986,0.985,27.192,67.161,83.000
3,0.000,720.066,1.933,25.000,30.000,1920.000,1080.000,0,44.001,0.993,0.990,4.028,86.948,83.086
3,0.000,578.114,1.933,25.000,30.000,1920.000,1080.000,0,44.201,0.993,0.991,4.624,87.592,34.517
3,0.000,597.802,1.900,25.000,30.000,1920.000,1080.000,0,44.125,0.993,0.990,4.259,87.704,0.000
