representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,79.345,1.933,28.000,30.000,960.000,540.000,0,42.756,0.990,0.988,19.294,77.599,71.034
0,0.000,171.451,1.933,25.000,30.000,640.000,360.000,0,40.866,0.985,0.984,33.773,63.646,52.931
0,0.667,174.012,1.933,25.000,30.000,640.000,360.000,0,40.656,0.985,0.983,35.913,61.991,49.828
0,0.300,139.130,1.933,31.000,30.000,960.000,540.000,0,39.854,0.981,0.981,50.646,58.330,47.207
0,2.067,140.818,1.933,31.000,30.000,960.000,540.000,0,39.798,0.982,0.981,39.848,61.171,72.086
1,0.000,168.294,1.933,28.000,30.000,960.000,540.000,0,41.183,0.987,0.985,18.749,71.502,70.845
2,0.000,184.895,1.933,25.000,30.000,1280.000,720.000,0,43.884,0.993,0.990,6.628,86.048,58.690
1,0.000,235.192,1.933,28.000,30.000,960.000,540.000,0,40.697,0.985,0.983,42.022,66.907,66.672
2,0.000,537.476,1.933,25.000,30.000,960.000,540.000,0,40.927,0.986,0.984,25.107,73.779,63.155
2,0.000,342.679,1.933,25.000,30.000,960.000,540.000,0,41.943,0.988,0.986,16.849,76.297,68.966
1,0.000,175.465,1.933,28.000,30.000,960.000,540.000,0,41.424,0.986,0.985,27.192,67.161,83.000
3,0.000,720.066,1.933,25.000,30.000,1920.000,1080.000,0,44.001,0.993,0.990,4.028,86.948,80.552
3,0.000,578.114,1.933,25.000,30.000,1920.000,1080.000,0,44.201,0.993,0.991,4.624,87.592,32.431
2,0.000,331.411,1.900,25.000,30.000,1280.000,720.000,0,43.337,0.991,0.989,7.844,82.844,0.000
