representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,162.268,1.760,37.000,25.000,640.000,360.000,0,23.911,0.876,0.861,276.515,20.417,12.273
0,0.000,195.205,1.760,37.000,25.000,640.000,360.000,0,23.152,0.875,0.855,306.169,16.995,11.500
0,0.000,219.650,1.760,37.000,25.000,640.000,360.000,0,24.113,0.877,0.865,370.940,17.264,12.000
0,0.000,205.223,1.760,37.000,25.000,640.000,360.000,0,26.512,0.874,0.875,466.817,21.121,13.205
1,0.000,322.809,1.760,31.000,25.000,640.000,360.000,0,29.635,0.930,0.921,100.585,42.630,22.523
4,0.000,784.262,1.680,34.000,25.000,1280.000,720.000,0,29.525,0.951,0.943,61.379,60.327,37.119
5,0.000,1021.738,1.800,31.000,25.000,640.000,360.000,0,27.902,0.924,0.919,165.391,58.903,28.778
5,0.000,889.062,1.800,28.000,25.000,640.000,360.000,0,32.863,0.955,0.955,119.471,58.700,42.156
4,0.000,778.067,1.800,34.000,25.000,960.000,540.000,0,26.409,0.939,0.926,95.275,49.858,33.289
4,0.000,866.373,1.760,34.000,25.000,960.000,540.000,0,26.202,0.937,0.925,97.321,53.348,31.409
4,0.000,717.548,1.840,37.000,25.000,1280.000,720.000,0,25.558,0.954,0.941,90.806,50.203,27.391
4,0.000,699.648,1.840,34.000,25.000,960.000,540.000,0,27.013,0.954,0.941,60.064,54.915,28.478
4,0.000,1156.574,1.840,34.000,25.000,1280.000,720.000,0,28.164,0.964,0.954,60.681,55.781,36.652
0,0.000,225.109,1.840,37.000,25.000,640.000,360.000,0,23.918,0.889,0.875,288.306,21.970,16.217
