representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,143.083,1.875,31.000,24.000,640.000,360.000,0,33.712,0.934,0.947,83.825,57.588,50.978
0,0.000,111.834,1.875,34.000,24.000,640.000,360.000,0,31.580,0.909,0.928,161.165,45.439,39.911
0,0.000,126.963,1.875,31.000,24.000,640.000,360.000,0,32.634,0.938,0.948,67.273,52.007,47.289
0,0.000,153.754,1.875,31.000,24.000,640.000,360.000,0,33.049,0.934,0.945,76.870,51.440,47.444
0,0.000,103.077,1.750,37.000,24.000,960.000,540.000,0,32.947,0.924,0.938,100.002,50.460,46.429
4,0.000,535.624,1.583,34.000,24.000,1280.000,720.000,0,28.831,0.935,0.936,72.178,59.803,46.026
0,0.000,236.408,1.583,37.000,24.000,960.000,540.000,0,26.340,0.855,0.870,190.779,35.694,25.711
0,0.000,236.635,1.583,37.000,24.000,960.000,540.000,0,26.439,0.855,0.872,178.644,35.510,23.579
0,0.000,227.749,1.500,37.000,24.000,960.000,540.000,0,26.592,0.861,0.877,171.765,34.788,24.611
0,0.000,129.631,1.792,37.000,24.000,960.000,540.000,0,31.368,0.911,0.925,138.307,38.099,30.186
0,0.000,162.637,1.792,37.000,24.000,960.000,540.000,0,31.788,0.918,0.930,186.289,39.845,32.047
0,0.000,143.463,1.833,34.000,24.000,640.000,360.000,0,31.384,0.901,0.921,152.214,35.839,29.909
0,0.000,133.663,1.833,34.000,24.000,640.000,360.000,0,31.135,0.898,0.919,150.788,37.146,29.659
3,0.000,331.826,1.750,31.000,24.000,960.000,540.000,0,34.146,0.951,0.959,55.391,61.241,49.048
3,0.000,243.183,1.083,31.000,24.000,960.000,540.000,0,36.319,0.970,0.975,61.335,64.111,59.192
5,0.000,331.515,1.042,28.000,24.000,960.000,540.000,0,37.289,0.978,0.981,40.812,73.057,67.000
