representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,127.289,1.700,28.000,30.000,640.000,360.000,0,40.438,0.987,0.988,59.990,59.915,41.039
5,0.000,480.974,1.700,25.000,30.000,1280.000,720.000,0,44.343,0.993,0.993,13.940,80.639,66.235
5,0.000,747.280,1.700,28.000,30.000,1920.000,1080.000,0,44.273,0.992,0.992,12.473,80.580,71.961
5,0.000,864.061,1.700,28.000,30.000,1920.000,1080.000,0,44.016,0.991,0.991,15.251,79.410,71.431
5,0.000,940.932,1.700,28.000,30.000,1920.000,1080.000,0,43.963,0.990,0.991,21.338,80.926,72.529
5,0.000,624.782,1.667,25.000,30.000,1280.000,720.000,0,43.555,0.993,0.993,7.696,82.841,61.060
5,0.000,769.705,1.900,25.000,30.000,1280.000,720.000,0,42.726,0.993,0.993,10.591,80.276,61.789
2,0.000,378.960,1.900,28.000,30.000,960.000,540.000,0,39.615,0.988,0.988,32.026,64.834,41.579
4,0.000,409.655,1.900,28.000,30.000,1280.000,720.000,0,41.842,0.994,0.993,7.304,79.049,49.947
5,0.000,671.069,1.900,25.000,30.000,1280.000,720.000,0,43.317,0.995,0.994,3.354,84.427,57.193
4,0.000,444.223,1.900,28.000,30.000,1280.000,720.000,0,42.418,0.993,0.993,19.829,76.544,52.368
5,0.000,665.760,1.900,28.000,30.000,1920.000,1080.000,0,44.483,0.994,0.994,6.040,84.272,67.474
6,0.000,904.349,1.900,25.000,30.000,1920.000,1080.000,0,46.307,0.995,0.994,2.736,89.226,81.807
5,0.000,684.808,1.900,25.000,30.000,1280.000,720.000,0,43.341,0.993,0.993,7.411,81.674,67.596
5,0.000,744.249,1.767,25.000,30.000,1280.000,720.000,0,43.855,0.993,0.993,4.763,83.691,64.151
