representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,217.926,1.417,37.000,24.000,960.000,540.000,0,26.831,0.895,0.908,132.704,40.718,31.147
0,0.000,223.996,1.417,37.000,24.000,960.000,540.000,0,26.663,0.891,0.904,155.455,39.765,29.059
0,0.125,347.287,1.750,34.000,24.000,640.000,360.000,0,30.607,0.878,0.901,870.843,39.826,19.976
0,0.000,209.248,1.750,34.000,24.000,640.000,360.000,0,31.143,0.890,0.909,382.066,35.142,21.476
0,0.000,264.705,1.792,37.000,24.000,640.000,360.000,0,27.473,0.822,0.857,1020.023,30.994,17.000
1,0.000,463.318,1.792,34.000,24.000,640.000,360.000,0,28.027,0.823,0.860,777.147,36.263,18.186
2,0.000,520.012,1.792,31.000,24.000,640.000,360.000,0,28.683,0.871,0.896,332.136,44.001,24.884
4,0.000,776.394,1.792,34.000,24.000,1280.000,720.000,0,28.236,0.919,0.928,72.074,53.826,37.209
2,0.000,601.563,1.792,37.000,24.000,1280.000,720.000,0,26.553,0.868,0.887,159.907,41.183,25.233
1,0.000,450.283,1.667,37.000,24.000,960.000,540.000,0,25.166,0.802,0.837,324.042,29.586,18.600
2,0.000,486.342,1.250,28.000,24.000,640.000,360.000,0,34.485,0.932,0.941,187.168,50.570,61.900
3,0.000,496.128,1.917,31.000,24.000,960.000,540.000,0,33.817,0.930,0.943,176.891,61.418,47.435
5,0.000,529.102,1.292,31.000,24.000,1280.000,720.000,0,35.584,0.973,0.977,45.545,69.262,56.194
4,0.000,744.368,0.500,25.000,24.000,640.000,360.000,0,34.640,0.946,0.953,87.693,63.510,64.167
3,0.000,403.443,1.583,28.000,24.000,640.000,360.000,0,35.347,0.951,0.959,196.800,62.558,60.553
4,0.000,494.611,1.292,34.000,24.000,1280.000,720.000,0,32.134,0.921,0.934,90.515,57.700,45.226
3,0.000,420.736,1.250,34.000,24.000,1280.000,720.000,0,31.937,0.928,0.938,67.781,60.371,46.400
6,0.000,803.111,0.958,34.000,24.000,1920.000,1080.000,0,37.829,0.973,0.979,54.320,68.627,49.913
