representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,193.316,1.793,37.000,23.976,640.000,360.000,0,27.454,0.884,0.887,336.509,33.895,21.884
3,0.417,308.664,1.793,34.000,23.976,640.000,360.000,0,30.740,0.897,0.909,337.044,49.611,29.000
1,0.000,241.451,1.793,34.000,23.976,640.000,360.000,0,30.400,0.939,0.941,136.095,54.125,31.907
2,0.876,232.894,1.668,31.000,23.976,640.000,360.000,0,31.396,0.969,0.964,53.363,58.382,23.450
0,0.000,226.687,1.877,40.000,23.976,960.000,540.000,0,25.664,0.882,0.867,182.655,31.659,18.000
0,0.125,270.074,1.877,40.000,23.976,960.000,540.000,0,25.427,0.874,0.864,232.629,33.272,16.800
0,0.000,240.080,1.877,37.000,23.976,640.000,360.000,0,24.829,0.843,0.840,332.080,26.992,17.178
0,0.209,260.569,1.793,40.000,23.976,960.000,540.000,0,25.672,0.872,0.863,231.917,32.399,28.884
1,0.000,198.751,1.919,34.000,23.976,640.000,360.000,0,30.820,0.942,0.941,124.499,54.731,28.587
0,0.000,217.002,1.919,34.000,23.976,640.000,360.000,0,30.124,0.934,0.934,135.435,45.179,25.826
1,0.000,191.279,1.919,34.000,23.976,640.000,360.000,0,30.258,0.937,0.937,116.323,48.361,26.848
1,0.000,200.665,1.919,31.000,23.976,480.000,270.000,0,32.098,0.936,0.946,241.137,46.873,17.196
1,0.000,258.378,1.919,37.000,23.976,640.000,360.000,0,27.281,0.832,0.848,631.014,31.701,17.261
1,0.000,223.386,1.919,37.000,23.976,640.000,360.000,0,25.867,0.869,0.865,269.805,38.134,21.304
2,0.000,330.682,1.710,34.000,23.976,640.000,360.000,0,27.059,0.905,0.894,165.913,45.045,0.927
