representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,193.316,1.793,37.000,23.976,640.000,360.000,0,27.454,0.884,0.887,336.509,33.895,21.884
0,0.000,145.573,1.793,34.000,23.976,384.000,216.000,0,28.253,0.825,0.852,774.583,32.188,16.372
0,0.000,182.726,1.793,37.000,23.976,640.000,360.000,0,28.662,0.908,0.914,246.057,41.904,20.047
0,0.000,170.949,1.668,34.000,23.976,640.000,360.000,0,29.938,0.953,0.950,93.479,47.187,28.850
5,0.000,702.636,1.877,34.000,23.976,1280.000,720.000,0,30.150,0.967,0.953,32.743,64.423,46.889
7,0.000,1072.054,1.877,37.000,23.976,1920.000,1080.000,0,30.389,0.967,0.956,37.520,67.372,50.022
7,0.000,1286.317,1.877,37.000,23.976,1920.000,1080.000,0,30.316,0.962,0.952,43.384,66.845,47.467
3,0.000,507.748,1.793,34.000,23.976,960.000,540.000,0,28.577,0.944,0.929,69.043,52.520,36.744
3,0.000,266.768,1.919,31.000,23.976,640.000,360.000,0,32.413,0.961,0.958,69.905,64.975,40.717
4,0.000,397.856,1.919,28.000,23.976,640.000,360.000,0,33.091,0.970,0.965,40.994,67.705,45.435
9,0.000,1040.359,1.919,28.000,23.976,1280.000,720.000,0,36.628,0.988,0.984,12.308,90.156,68.674
9,0.000,1013.844,1.919,25.000,23.976,960.000,540.000,0,39.025,0.986,0.986,23.624,89.726,70.087
9,0.000,1884.853,1.919,25.000,23.976,960.000,540.000,0,36.196,0.981,0.978,28.599,87.526,68.065
0,0.000,160.673,1.919,40.000,23.976,640.000,360.000,0,24.226,0.803,0.809,533.223,29.621,19.522
5,0.000,597.422,1.710,34.000,23.976,960.000,540.000,0,29.159,0.947,0.936,82.914,61.939,35.878
