representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,217.926,1.417,37.000,24.000,960.000,540.000,0,26.831,0.895,0.908,132.704,40.718,31.147
0,0.000,223.996,1.417,37.000,24.000,960.000,540.000,0,26.663,0.891,0.904,155.455,39.765,29.059
0,0.000,347.287,1.750,34.000,24.000,640.000,360.000,0,30.607,0.878,0.901,870.843,39.826,20.262
4,0.000,579.150,1.750,25.000,24.000,640.000,360.000,0,35.587,0.955,0.964,65.334,67.110,47.714
4,0.000,720.049,1.792,28.000,24.000,640.000,360.000,0,32.523,0.925,0.942,165.166,59.822,38.860
4,0.000,937.724,1.792,28.000,24.000,640.000,360.000,0,31.202,0.900,0.922,211.989,56.300,32.256
3,0.000,677.782,1.792,34.000,24.000,960.000,540.000,0,29.076,0.882,0.904,305.585,48.421,28.209
4,0.000,776.394,1.792,34.000,24.000,1280.000,720.000,0,28.236,0.919,0.928,71.998,53.826,37.326
4,0.000,889.375,1.792,34.000,24.000,1280.000,720.000,0,28.084,0.912,0.923,80.291,53.434,36.860
4,0.000,1083.744,1.667,34.000,24.000,1280.000,720.000,0,28.006,0.901,0.915,101.167,52.540,33.900
6,0.000,965.958,1.250,22.000,24.000,640.000,360.000,0,36.530,0.962,0.965,52.016,71.410,67.933
5,0.000,718.393,1.917,28.000,24.000,960.000,540.000,0,35.181,0.952,0.960,102.075,72.611,59.065
6,0.000,711.973,1.292,34.000,24.000,1920.000,1080.000,0,36.473,0.972,0.977,42.552,69.019,58.355
2,0.000,523.872,0.500,28.000,24.000,640.000,360.000,0,33.434,0.928,0.939,159.124,53.386,59.917
0,0.000,170.435,1.583,37.000,24.000,640.000,360.000,0,30.989,0.899,0.912,956.107,37.202,40.421
3,0.000,458.818,1.292,31.000,24.000,960.000,540.000,0,32.243,0.927,0.939,75.105,59.110,44.968
3,0.000,420.736,1.250,34.000,24.000,1280.000,720.000,0,31.937,0.928,0.938,67.563,60.371,45.967
6,0.000,803.111,0.958,34.000,24.000,1920.000,1080.000,0,37.829,0.973,0.979,54.320,68.627,56.435
