representation_index,rebuffering_duration,video_bitrate,chunk_duration,qp,framerate,width,height,is_best,psnr,ssim,msssim,strred,vmaf,ssimplus
0,0.000,193.316,1.793,37.000,23.976,640.000,360.000,0,27.454,0.884,0.887,336.509,33.895,21.884
4,0.000,438.978,1.793,31.000,23.976,640.000,360.000,0,32.473,0.930,0.936,189.772,60.437,35.209
5,0.000,454.866,1.793,28.000,23.976,640.000,360.000,0,33.720,0.975,0.972,40.617,77.685,50.465
6,0.000,625.055,1.668,31.000,23.976,1280.000,720.000,0,35.343,0.988,0.985,17.462,84.346,65.800
7,0.000,926.740,1.877,37.000,23.976,1920.000,1080.000,0,30.621,0.970,0.957,27.947,67.298,53.244
5,0.000,810.411,1.877,34.000,23.976,1280.000,720.000,0,29.885,0.963,0.951,42.926,63.716,47.111
6,0.000,977.906,1.877,34.000,23.976,1280.000,720.000,0,29.847,0.958,0.947,49.977,63.840,44.244
5,0.000,778.920,1.793,34.000,23.976,1280.000,720.000,0,30.118,0.962,0.950,40.667,63.666,46.395
4,0.000,361.659,1.919,28.000,23.976,640.000,360.000,0,33.930,0.975,0.970,39.753,75.084,50.804
6,0.000,695.092,1.919,28.000,23.976,960.000,540.000,0,35.511,0.983,0.979,19.644,82.866,63.261
7,0.000,736.126,1.919,31.000,23.976,1280.000,720.000,0,35.028,0.981,0.977,22.067,82.198,61.196
8,0.000,797.947,1.919,22.000,23.976,640.000,360.000,0,38.150,0.985,0.985,25.513,86.562,59.239
9,0.000,1884.853,1.919,25.000,23.976,960.000,540.000,0,36.196,0.981,0.978,28.596,87.526,67.043
9,0.000,1719.706,1.919,28.000,23.976,1280.000,720.000,0,34.867,0.989,0.983,13.292,95.673,74.196
6,0.000,841.584,1.710,31.000,23.976,960.000,540.000,0,30.932,0.968,0.957,43.306,73.573,52.902
